Artist	Album	ArtistHash	AlbumHash	PathHash
Radiohead	Ok Computer - Oknotok 1997 - 2017 (Disc 1)	3F3371C759CD4D39B5D9AC571FDDE1007568391D621B0F799FDE70F0F245A6E1	A997076DB9111A4FE482FE049E59481BB773A87CA9ADCF784FD0C32FFF85746C	669EC5733FDCCFB56D967B0CE43F90699A0F6866DEE39C7BA653B7580B6BB39D
Radiohead	Ok Computer Oknotok 1997 2017 [Disc 2]	3F3371C759CD4D39B5D9AC571FDDE1007568391D621B0F799FDE70F0F245A6E1	0ABE832D18E7296833A3417174ADAA2FA2231925D605EAE274116C1F7E4FD57B	8935CE04F7771CF963CCD3F77BBF25A41A4A78BF69211F7235CBB829FD9DDA51
Ralph Vaughan Williams	Complete Symphonies	38F37E46953AD5598B9EF9A864408DB5E1C09A2A0091305763F9A63E9A6F277D	A39C539EA5C5E58D08D4D7F1BFD687228334480BE8BA0866C08A438A3FAED6AA	E66D6E863ACCDC7FFEC6DDE35E09E77967C0B8B0EED352D0F6556EDBFC5B6044
Ralph Vaughan Williams	Orchestral Works	38F37E46953AD5598B9EF9A864408DB5E1C09A2A0091305763F9A63E9A6F277D	0E6975E0CA9D2B85CF77E1F98968F54BC4D67920E59FF75103FAB6E124FF908B	59FB98F261C24853EC7E8DADAA173234DC69BF6C221E04CBDEF7240AF126EFCC
Ralph Vaughan Williams	Serenade to Music	38F37E46953AD5598B9EF9A864408DB5E1C09A2A0091305763F9A63E9A6F277D	A7AC0C026A97AC7823EC92A8A2B255D95DC05428A96AE0A5B74FF7B014C6C7C0	5260FC867910FCE2B2BB5C3F21C6A9EC521A48939720C2DD2FF1767A2358F09D
Ralph Vaughan Williams	Symphony No. 7; The Wasps	38F37E46953AD5598B9EF9A864408DB5E1C09A2A0091305763F9A63E9A6F277D	9545BCC4FF41DE419C56A555796618A80F912AF8C5E14E5D26E44219893B0F1E	86BA4CE5AA3515776A8D16E5F69F21C84DE80A450AA1414ECDD9CD24DC00E6BA
Ralph Vaughan Williams	Vaughan Williams Retrospect	38F37E46953AD5598B9EF9A864408DB5E1C09A2A0091305763F9A63E9A6F277D	D29E7E4A2DFFFE3EE7ED9C1D72EC7B8D89596CA42BD4E24EE83A2E4F5F8B8E31	526D5362E91334338B9A109A7B9FC222784A9A97A9A27FAE27D5B9F5D0548A35
Raphaël Feuillâtre	Visages Baroques	73B7BFE536BDB240A0062BC13F753BC286B44CC3B5EB7F6EC33743DBCBCFDE25	3781738AFEBF8734DDA261F567D38C57A457AA32872CFC021B59DE140E3269F3	48D45BF80337B7315EE65D3AADCBF12ACB84FFF8F9AA3166A73A40642501260C
Rascal Flatts	Feels Like Today	C6232F789F9810C8DDC8E1DDFECC14EB72B6FAAD33BB86115EA8F3E59B89EEB0	ABCA9321718A9A1F1995399B1C513BF1BB82E3912FA114C2D272D0A86A206F87	18A5426466DCFD5DEFAD9AB1061E9474D29DE0B85F2D7908746ACB67E695E470
Rascal Flatts	Me and My Gang	C6232F789F9810C8DDC8E1DDFECC14EB72B6FAAD33BB86115EA8F3E59B89EEB0	CA4FA7077814A21D2BE52E7DDBE9AFD3E14D1DF5E54FB6D363DD79404BC0DD80	B6B6EBCC98AE7565A456FEC3285E901BE708C4908746C9ECEB7BF17BA8101B1A
Rascal Flatts	Melt	C6232F789F9810C8DDC8E1DDFECC14EB72B6FAAD33BB86115EA8F3E59B89EEB0	AF45B9700BB0B00EF1B2F371E50C2EEAE17E385748ED517CB25525EC2D6DAB4A	445A5824978521E3C0739651C7F3265BEDBFD204D95F38B77723C51293B60164
Rascal Flatts	Nothing Like This	C6232F789F9810C8DDC8E1DDFECC14EB72B6FAAD33BB86115EA8F3E59B89EEB0	AC32C53838BD36581B3DCFF50B85A2ED1534C3D5E596790A48D8BD0FE542B4EC	F96B425EB2D95FC88B5F17BDA6B34842FAACDA72D9B6CBBD61A7024F9317368F
